"trade_date","segment","token","symbol","expirydate","insttype","optiontype","strikeprice","lotmultiple","lotsize","ticksize","name","series","divisor","exch","fullname","freeze_qty"
2026-07-01,F&O,35070,NIFTYNXT50,"1472135400",OPTIDX,CE,8360000,1.0,25,5.0,NIFTYNXT5026AUG83600CE,XX,100,NSE,OPT NIFTYNXT50 83600.00 CE 2026-08-25,1800
2026-07-01,F&O,35071,NIFTYNXT50,"1472135400",OPTIDX,PE,8360000,1.0,25,5.0,NIFTYNXT5026AUG83600PE,XX,100,NSE,OPT NIFTYNXT50 83600.00 PE 2026-08-25,1800
2026-07-01,F&O,35072,BANKNIFTY,"1472135400",OPTIDX,CE,3150000,1.0,30,5.0,BANKNIFTY26AUG31500CE,XX,100,NSE,OPT BANKNIFTY 31500.00 CE 2026-08-25,1800
2026-07-01,F&O,35073,BANKNIFTY,"1472135400",OPTIDX,PE,3150000,1.0,30,5.0,BANKNIFTY26AUG31500PE,XX,100,NSE,OPT BANKNIFTY 31500.00 PE 2026-08-25,1800
2026-07-01,F&O,35074,NIFTYNXT50,"1472135400",OPTIDX,CE,8370000,1.0,25,5.0,NIFTYNXT5026AUG83700CE,XX,100,NSE,OPT NIFTYNXT50 83700.00 CE 2026-08-25,1800
2026-07-01,F&O,35075,NIFTYNXT50,"1472135400",OPTIDX,PE,8370000,1.0,25,5.0,NIFTYNXT5026AUG83700PE,XX,100,NSE,OPT NIFTYNXT50 83700.00 PE 2026-08-25,1800
2026-07-01,F&O,35076,NIFTYNXT50,"1472135400",OPTIDX,CE,8380000,1.0,25,5.0,NIFTYNXT5026AUG83800CE,XX,100,NSE,OPT NIFTYNXT50 83800.00 CE 2026-08-25,1800
2026-07-01,F&O,35077,NIFTYNXT50,"1472135400",OPTIDX,PE,8380000,1.0,25,5.0,NIFTYNXT5026AUG83800PE,XX,100,NSE,OPT NIFTYNXT50 83800.00 PE 2026-08-25,1800
2026-07-01,F&O,35078,NIFTYNXT50,"1472135400",OPTIDX,CE,8390000,1.0,25,5.0,NIFTYNXT5026AUG83900CE,XX,100,NSE,OPT NIFTYNXT50 83900.00 CE 2026-08-25,1800
2026-07-01,F&O,35079,NIFTYNXT50,"1472135400",OPTIDX,PE,8390000,1.0,25,5.0,NIFTYNXT5026AUG83900PE,XX,100,NSE,OPT NIFTYNXT50 83900.00 PE 2026-08-25,1800
2026-07-01,F&O,35080,NIFTYNXT50,"1472135400",OPTIDX,CE,10150000,1.0,25,5.0,NIFTYNXT5026AUG101500CE,XX,100,NSE,OPT NIFTYNXT50 101500.00 CE 2026-08-25,1800
2026-07-01,F&O,35081,NIFTYNXT50,"1472135400",OPTIDX,PE,10150000,1.0,25,5.0,NIFTYNXT5026AUG101500PE,XX,100,NSE,OPT NIFTYNXT50 101500.00 PE 2026-08-25,1800
2026-07-01,F&O,35082,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35083,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35084,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35085,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35086,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35087,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35088,ADANIPORTS,"1469716200",OPTSTK,CE,204000,1.0,475,5.0,ADANIPORTS26JUL2040CE,XX,100,NSE,OPT ADANIPORTS 2040.00 CE 2026-07-28,1800
2026-07-01,F&O,35089,ADANIPORTS,"1469716200",OPTSTK,PE,204000,1.0,475,5.0,ADANIPORTS26JUL2040PE,XX,100,NSE,OPT ADANIPORTS 2040.00 PE 2026-07-28,1800
2026-07-01,F&O,35090,ADANIPORTS,"1469716200",OPTSTK,CE,240000,1.0,475,5.0,ADANIPORTS26JUL2400CE,XX,100,NSE,OPT ADANIPORTS 2400.00 CE 2026-07-28,1800
2026-07-01,F&O,35091,ADANIPORTS,"1469716200",OPTSTK,PE,240000,1.0,475,5.0,ADANIPORTS26JUL2400PE,XX,100,NSE,OPT ADANIPORTS 2400.00 PE 2026-07-28,1800
2026-07-01,F&O,35092,NIFTYNXT50,"1472135400",OPTIDX,CE,10200000,1.0,25,5.0,NIFTYNXT5026AUG102000CE,XX,100,NSE,OPT NIFTYNXT50 102000.00 CE 2026-08-25,1800
2026-07-01,F&O,35093,NIFTYNXT50,"1472135400",OPTIDX,PE,10200000,1.0,25,5.0,NIFTYNXT5026AUG102000PE,XX,100,NSE,OPT NIFTYNXT50 102000.00 PE 2026-08-25,1800
2026-07-01,F&O,35094,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35095,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35096,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35097,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35098,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35099,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35100,BANKNIFTY,"1469716200",OPTIDX,CE,3250000,1.0,30,5.0,BANKNIFTY26JUL32500CE,XX,100,NSE,OPT BANKNIFTY 32500.00 CE 2026-07-28,1800
2026-07-01,F&O,35101,BANKNIFTY,"1469716200",OPTIDX,PE,3250000,1.0,30,5.0,BANKNIFTY26JUL32500PE,XX,100,NSE,OPT BANKNIFTY 32500.00 PE 2026-07-28,1800
2026-07-01,F&O,35102,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35103,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35104,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35105,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35106,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
