# source: futures on the underlyings of XNSE_NIFTY50_EQUITY
# roots come from that index list; expiries are re-picked from today's data
# all: every live expiry per root
# refreshed from constituents/contracts/20260907/XNSE_NIFTY50_FUTURES.parquet at 2026-09-07T03:55:00Z
# 150 contract(s), expiries 26NOV, 26OCT, 26SEP
NSE:ADANIENT26NOVFUT
NSE:HDFCLIFE26SEPFUT
NSE:HINDALCO26NOVFUT
NSE:HINDALCO26OCTFUT
NSE:HINDALCO26SEPFUT
NSE:HINDUNILVR26NOVFUT
NSE:HINDUNILVR26OCTFUT
NSE:HINDUNILVR26SEPFUT
NSE:ICICIBANK26NOVFUT
NSE:ICICIBANK26OCTFUT
NSE:ICICIBANK26SEPFUT
NSE:INDIGO26NOVFUT
NSE:INDIGO26OCTFUT
NSE:INDIGO26SEPFUT
NSE:INFY26NOVFUT
NSE:INFY26OCTFUT
NSE:INFY26SEPFUT
NSE:ITC26NOVFUT
NSE:ITC26OCTFUT
NSE:ITC26SEPFUT
NSE:JIOFIN26NOVFUT
NSE:JIOFIN26OCTFUT
NSE:JIOFIN26SEPFUT
NSE:JSWSTEEL26NOVFUT
NSE:JSWSTEEL26OCTFUT
NSE:JSWSTEEL26SEPFUT
NSE:KOTAKBANK26NOVFUT
NSE:KOTAKBANK26OCTFUT
NSE:KOTAKBANK26SEPFUT
NSE:LT26NOVFUT
NSE:LT26OCTFUT
NSE:LT26SEPFUT
NSE:M&M26NOVFUT
NSE:M&M26OCTFUT
NSE:M&M26SEPFUT
NSE:MARUTI26NOVFUT
NSE:MARUTI26OCTFUT
NSE:MARUTI26SEPFUT
NSE:MAXHEALTH26NOVFUT
NSE:MAXHEALTH26OCTFUT
NSE:MAXHEALTH26SEPFUT
NSE:NESTLEIND26NOVFUT
NSE:NESTLEIND26OCTFUT
NSE:NESTLEIND26SEPFUT
NSE:NTPC26NOVFUT
NSE:NTPC26OCTFUT
NSE:NTPC26SEPFUT
NSE:ONGC26NOVFUT
NSE:ONGC26OCTFUT
NSE:ONGC26SEPFUT
NSE:POWERGRID26NOVFUT
NSE:POWERGRID26OCTFUT
NSE:POWERGRID26SEPFUT
NSE:RELIANCE26NOVFUT
NSE:RELIANCE26OCTFUT
NSE:RELIANCE26SEPFUT
NSE:SBILIFE26NOVFUT
NSE:SBILIFE26OCTFUT
NSE:SBILIFE26SEPFUT
NSE:SBIN26NOVFUT
NSE:SBIN26OCTFUT
NSE:SBIN26SEPFUT
NSE:SHRIRAMFIN26NOVFUT
NSE:SHRIRAMFIN26OCTFUT
NSE:SHRIRAMFIN26SEPFUT
NSE:SUNPHARMA26NOVFUT
NSE:SUNPHARMA26OCTFUT
NSE:SUNPHARMA26SEPFUT
NSE:TATACONSUM26NOVFUT
NSE:TATACONSUM26OCTFUT
NSE:TATACONSUM26SEPFUT
NSE:TATASTEEL26NOVFUT
NSE:TATASTEEL26OCTFUT
NSE:TATASTEEL26SEPFUT
NSE:TCS26NOVFUT
NSE:TCS26OCTFUT
NSE:TCS26SEPFUT
NSE:TECHM26NOVFUT
NSE:TECHM26OCTFUT
NSE:TECHM26SEPFUT
NSE:TITAN26NOVFUT
NSE:TITAN26OCTFUT
NSE:TITAN26SEPFUT
NSE:TMPV26NOVFUT
NSE:TMPV26OCTFUT
NSE:TMPV26SEPFUT
NSE:TRENT26NOVFUT
NSE:TRENT26OCTFUT
NSE:TRENT26SEPFUT
NSE:ULTRACEMCO26NOVFUT
NSE:ULTRACEMCO26OCTFUT
NSE:ULTRACEMCO26SEPFUT
NSE:WIPRO26NOVFUT
NSE:WIPRO26OCTFUT
NSE:WIPRO26SEPFUT
