# refreshed from constituents/contracts/20260907/XIMC_FUTURES_ALL.parquet at 2026-09-07T03:35:24Z
# 148 contract(s), expiries 26DEC, 26NOV, 26OCT, 26SEP, 27APR, 27AUG, 27FEB, 27JAN, 27JUL, 27JUN, 27MAR, 27MAY
MCX:ALUMINI26DECFUT
MCX:GOLD27FEBFUT
MCX:GOLD27JUNFUT
MCX:GOLDGUINEA26DECFUT
MCX:GOLDGUINEA26NOVFUT
MCX:GOLDGUINEA26OCTFUT
MCX:GOLDGUINEA26SEPFUT
MCX:GOLDGUINEA27FEBFUT
MCX:GOLDGUINEA27JANFUT
MCX:GOLDM26DECFUT
MCX:GOLDM26NOVFUT
MCX:GOLDM26OCTFUT
MCX:GOLDM27FEBFUT
MCX:GOLDM27JANFUT
MCX:GOLDM27MARFUT
MCX:GOLDPETAL26DECFUT
MCX:GOLDPETAL26NOVFUT
MCX:GOLDPETAL26OCTFUT
MCX:GOLDPETAL26SEPFUT
MCX:GOLDPETAL27FEBFUT
MCX:GOLDPETAL27JANFUT
MCX:GOLDTEN26DECFUT
MCX:GOLDTEN26NOVFUT
MCX:GOLDTEN26OCTFUT
MCX:GOLDTEN26SEPFUT
MCX:GOLDTEN27FEBFUT
MCX:GOLDTEN27JANFUT
MCX:KAPAS26NOVFUT
MCX:KAPAS27APRFUT
MCX:KAPAS27FEBFUT
MCX:LEAD26DECFUT
MCX:LEAD26NOVFUT
MCX:LEAD26OCTFUT
MCX:LEAD26SEPFUT
MCX:LEAD27JANFUT
MCX:LEADMINI26DECFUT
MCX:LEADMINI26NOVFUT
MCX:LEADMINI26OCTFUT
MCX:LEADMINI26SEPFUT
MCX:LEADMINI27JANFUT
MCX:MCXBULLDEX26NOVFUT
MCX:MCXBULLDEX26OCTFUT
MCX:MCXBULLDEX26SEPFUT
MCX:MCXMETLDEX26NOVFUT
MCX:MCXMETLDEX26OCTFUT
MCX:MCXMETLDEX26SEPFUT
MCX:MENTHAOIL26DECFUT
MCX:MENTHAOIL26NOVFUT
MCX:MENTHAOIL26OCTFUT
MCX:MENTHAOIL26SEPFUT
MCX:MENTHAOIL27FEBFUT
MCX:MENTHAOIL27JANFUT
MCX:NATGASMINI26DECFUT
MCX:NATGASMINI26NOVFUT
MCX:NATGASMINI26OCTFUT
MCX:NATGASMINI26SEPFUT
MCX:NATGASMINI27FEBFUT
MCX:NATGASMINI27JANFUT
MCX:NATURALGAS26DECFUT
MCX:NATURALGAS26NOVFUT
MCX:NATURALGAS26OCTFUT
MCX:NATURALGAS26SEPFUT
MCX:NATURALGAS27FEBFUT
MCX:NATURALGAS27JANFUT
MCX:NICKEL26DECFUT
MCX:NICKEL26NOVFUT
MCX:NICKEL26OCTFUT
MCX:NICKEL26SEPFUT
MCX:NICKEL27JANFUT
MCX:SILVER26DECFUT
MCX:SILVER27JULFUT
MCX:SILVER27MARFUT
MCX:SILVER27MAYFUT
MCX:SILVERM26NOVFUT
MCX:SILVERM27APRFUT
MCX:SILVERM27FEBFUT
MCX:SILVERM27JUNFUT
MCX:SILVERMIC26NOVFUT
MCX:SILVERMIC27APRFUT
MCX:SILVERMIC27FEBFUT
MCX:STEELREBAR26DECFUT
MCX:STEELREBAR26NOVFUT
MCX:STEELREBAR26OCTFUT
MCX:STEELREBAR26SEPFUT
MCX:STEELREBAR27JANFUT
MCX:ZINC26DECFUT
MCX:ZINC26NOVFUT
MCX:ZINC26OCTFUT
MCX:ZINC26SEPFUT
MCX:ZINC27JUNFUT
MCX:ZINC27MARFUT
MCX:ZINCMINI26DECFUT
MCX:ZINCMINI26NOVFUT
MCX:ZINCMINI26OCTFUT
MCX:ZINCMINI26SEPFUT
MCX:ZINCMINI27JUNFUT
MCX:ZINCMINI27MARFUT
