date,exchange,scriptDetails,scriptInstrumentType,scriptInstrumentType2,multiplier,lotSize,tickSize,ISIN,tradingSessionUTC,expiration,script,scriptToken,underlying_root,underlying,strike,optionType,currency
20260713,XIMC,IDFCFIRSTB 28 Jul 26 FUT,FUTSTK,FUTURE,100,9275,1,,0345-1000|1245-1345,1785232800000000000,NSE:IDFCFIRSTB26JULFUT,61201,IDFCFIRSTB,IDFCFIRSTB,0,,INR
20260713,XIMC,IEX 28 Jul 26 FUT,FUTSTK,FUTURE,100,4350,1,,0345-1000|1245-1345,1785232800000000000,NSE:IEX26JULFUT,61202,IEX,IEX,0,,INR
20260713,XIMC,INDHOTEL 28 Jul 26 FUT,FUTSTK,FUTURE,100,1000,5,,0345-1000|1245-1345,1785232800000000000,NSE:INDHOTEL26JULFUT,61203,INDHOTEL,INDHOTEL,0,,INR
20260713,XIMC,INDIANB 28 Jul 26 FUT,FUTSTK,FUTURE,100,1000,5,,0345-1000|1245-1345,1785232800000000000,NSE:INDIANB26JULFUT,61204,INDIANB,INDIANB,0,,INR
20260713,XIMC,INDIGO 28 Jul 26 FUT,FUTSTK,FUTURE,100,150,50,,0345-1000|1245-1345,1785232800000000000,NSE:INDIGO26JULFUT,61205,INDIGO,INDIGO,0,,INR
20260713,XIMC,INDUSINDBK 28 Jul 26 FUT,FUTSTK,FUTURE,100,700,5,,0345-1000|1245-1345,1785232800000000000,NSE:INDUSINDBK26JULFUT,61206,INDUSINDBK,INDUSINDBK,0,,INR
20260713,XIMC,INDUSTOWER 28 Jul 26 FUT,FUTSTK,FUTURE,100,1700,5,,0345-1000|1245-1345,1785232800000000000,NSE:INDUSTOWER26JULFUT,61207,INDUSTOWER,INDUSTOWER,0,,INR
20260713,XIMC,INFY 28 Jul 26 FUT,FUTSTK,FUTURE,100,400,10,,0345-1000|1245-1345,1785232800000000000,NSE:INFY26JULFUT,61209,INFY,INFY,0,,INR
20260713,XIMC,INOXWIND 28 Jul 26 FUT,FUTSTK,FUTURE,100,6400,1,,0345-1000|1245-1345,1785232800000000000,NSE:INOXWIND26JULFUT,61210,INOXWIND,INOXWIND,0,,INR
20260713,XIMC,IOC 28 Jul 26 FUT,FUTSTK,FUTURE,100,4875,1,,0345-1000|1245-1345,1785232800000000000,NSE:IOC26JULFUT,61213,IOC,IOC,0,,INR
20260713,XIMC,IREDA 28 Jul 26 FUT,FUTSTK,FUTURE,100,4525,1,,0345-1000|1245-1345,1785232800000000000,NSE:IREDA26JULFUT,61214,IREDA,IREDA,0,,INR
20260713,XIMC,IRFC 28 Jul 26 FUT,FUTSTK,FUTURE,100,5425,1,,0345-1000|1245-1345,1785232800000000000,NSE:IRFC26JULFUT,61215,IRFC,IRFC,0,,INR
20260713,XIMC,ITC 28 Jul 26 FUT,FUTSTK,FUTURE,100,1725,5,,0345-1000|1245-1345,1785232800000000000,NSE:ITC26JULFUT,61216,ITC,ITC,0,,INR
20260713,XIMC,JINDALSTEL 28 Jul 26 FUT,FUTSTK,FUTURE,100,625,10,,0345-1000|1245-1345,1785232800000000000,NSE:JINDALSTEL26JULFUT,61217,JINDALSTEL,JINDALSTEL,0,,INR
20260713,XIMC,JIOFIN 28 Jul 26 FUT,FUTSTK,FUTURE,100,2350,1,,0345-1000|1245-1345,1785232800000000000,NSE:JIOFIN26JULFUT,61218,JIOFIN,JIOFIN,0,,INR
20260713,XIMC,JSWENERGY 28 Jul 26 FUT,FUTSTK,FUTURE,100,1075,5,,0345-1000|1245-1345,1785232800000000000,NSE:JSWENERGY26JULFUT,61219,JSWENERGY,JSWENERGY,0,,INR
20260713,XIMC,JSWSTEEL 28 Jul 26 FUT,FUTSTK,FUTURE,100,675,10,,0345-1000|1245-1345,1785232800000000000,NSE:JSWSTEEL26JULFUT,61220,JSWSTEEL,JSWSTEEL,0,,INR
20260713,XIMC,JUBLFOOD 28 Jul 26 FUT,FUTSTK,FUTURE,100,1250,5,,0345-1000|1245-1345,1785232800000000000,NSE:JUBLFOOD26JULFUT,61221,JUBLFOOD,JUBLFOOD,0,,INR
20260713,XIMC,KALYANKJIL 28 Jul 26 FUT,FUTSTK,FUTURE,100,1350,5,,0345-1000|1245-1345,1785232800000000000,NSE:KALYANKJIL26JULFUT,61222,KALYANKJIL,KALYANKJIL,0,,INR
20260713,XIMC,KAYNES 28 Jul 26 FUT,FUTSTK,FUTURE,100,150,10,,0345-1000|1245-1345,1785232800000000000,NSE:KAYNES26JULFUT,61223,KAYNES,KAYNES,0,,INR
20260713,XIMC,KEI 28 Jul 26 FUT,FUTSTK,FUTURE,100,175,50,,0345-1000|1245-1345,1785232800000000000,NSE:KEI26JULFUT,61224,KEI,KEI,0,,INR
20260713,XIMC,KFINTECH 28 Jul 26 FUT,FUTSTK,FUTURE,100,575,5,,0345-1000|1245-1345,1785232800000000000,NSE:KFINTECH26JULFUT,61225,KFINTECH,KFINTECH,0,,INR
20260713,XIMC,KOTAKBANK 28 Jul 26 FUT,FUTSTK,FUTURE,100,2000,5,,0345-1000|1245-1345,1785232800000000000,NSE:KOTAKBANK26JULFUT,61226,KOTAKBANK,KOTAKBANK,0,,INR
20260713,XIMC,KPITTECH 28 Jul 26 FUT,FUTSTK,FUTURE,100,775,5,,0345-1000|1245-1345,1785232800000000000,NSE:KPITTECH26JULFUT,61227,KPITTECH,KPITTECH,0,,INR
20260713,XIMC,LAURUSLABS 28 Jul 26 FUT,FUTSTK,FUTURE,100,850,10,,0345-1000|1245-1345,1785232800000000000,NSE:LAURUSLABS26JULFUT,61228,LAURUSLABS,LAURUSLABS,0,,INR
20260713,XIMC,LICHSGFIN 28 Jul 26 FUT,FUTSTK,FUTURE,100,1000,5,,0345-1000|1245-1345,1785232800000000000,NSE:LICHSGFIN26JULFUT,61229,LICHSGFIN,LICHSGFIN,0,,INR
20260713,XIMC,LICI 28 Jul 26 FUT,FUTSTK,FUTURE,100,1400,5,,0345-1000|1245-1345,1785232800000000000,NSE:LICI26JULFUT,61230,LICI,LICI,0,,INR
20260713,XIMC,LODHA 28 Jul 26 FUT,FUTSTK,FUTURE,100,625,5,,0345-1000|1245-1345,1785232800000000000,NSE:LODHA26JULFUT,61231,LODHA,LODHA,0,,INR
20260713,XIMC,LT 28 Jul 26 FUT,FUTSTK,FUTURE,100,175,10,,0345-1000|1245-1345,1785232800000000000,NSE:LT26JULFUT,61232,LT,LT,0,,INR
20260713,XIMC,LTF 28 Jul 26 FUT,FUTSTK,FUTURE,100,2250,5,,0345-1000|1245-1345,1785232800000000000,NSE:LTF26JULFUT,61233,LTF,LTF,0,,INR
20260713,XIMC,LTM 28 Jul 26 FUT,FUTSTK,FUTURE,100,150,10,,0345-1000|1245-1345,1785232800000000000,NSE:LTM26JULFUT,61234,LTM,LTM,0,,INR
20260713,XIMC,LUPIN 28 Jul 26 FUT,FUTSTK,FUTURE,100,425,10,,0345-1000|1245-1345,1785232800000000000,NSE:LUPIN26JULFUT,61235,LUPIN,LUPIN,0,,INR
20260713,XIMC,M&M 28 Jul 26 FUT,FUTSTK,FUTURE,100,200,10,,0345-1000|1245-1345,1785232800000000000,NSE:M&M26JULFUT,61236,M&M,M&M,0,,INR
20260713,XIMC,MANAPPURAM 28 Jul 26 FUT,FUTSTK,FUTURE,100,3000,5,,0345-1000|1245-1345,1785232800000000000,NSE:MANAPPURAM26JULFUT,61237,MANAPPURAM,MANAPPURAM,0,,INR
20260713,XIMC,MANKIND 28 Jul 26 FUT,FUTSTK,FUTURE,100,250,10,,0345-1000|1245-1345,1785232800000000000,NSE:MANKIND26JULFUT,61238,MANKIND,MANKIND,0,,INR
20260713,XIMC,MARICO 28 Jul 26 FUT,FUTSTK,FUTURE,100,1200,5,,0345-1000|1245-1345,1785232800000000000,NSE:MARICO26JULFUT,61239,MARICO,MARICO,0,,INR
20260713,XIMC,MARUTI 28 Jul 26 FUT,FUTSTK,FUTURE,100,50,100,,0345-1000|1245-1345,1785232800000000000,NSE:MARUTI26JULFUT,61240,MARUTI,MARUTI,0,,INR
20260713,XIMC,MAXHEALTH 28 Jul 26 FUT,FUTSTK,FUTURE,100,525,10,,0345-1000|1245-1345,1785232800000000000,NSE:MAXHEALTH26JULFUT,61241,MAXHEALTH,MAXHEALTH,0,,INR
20260713,XIMC,MAZDOCK 28 Jul 26 FUT,FUTSTK,FUTURE,100,225,10,,0345-1000|1245-1345,1785232800000000000,NSE:MAZDOCK26JULFUT,61242,MAZDOCK,MAZDOCK,0,,INR
20260713,XIMC,MCX 28 Jul 26 FUT,FUTSTK,FUTURE,100,225,10,,0345-1000|1245-1345,1785232800000000000,NSE:MCX26JULFUT,61243,MCX,MCX,0,,INR
20260713,XIMC,MFSL 28 Jul 26 FUT,FUTSTK,FUTURE,100,400,10,,0345-1000|1245-1345,1785232800000000000,NSE:MFSL26JULFUT,61244,MFSL,MFSL,0,,INR
20260713,XIMC,MOTHERSON 28 Jul 26 FUT,FUTSTK,FUTURE,100,6150,1,,0345-1000|1245-1345,1785232800000000000,NSE:MOTHERSON26JULFUT,61245,MOTHERSON,MOTHERSON,0,,INR
20260713,XIMC,MOTILALOFS 28 Jul 26 FUT,FUTSTK,FUTURE,100,775,5,,0345-1000|1245-1345,1785232800000000000,NSE:MOTILALOFS26JULFUT,61246,MOTILALOFS,MOTILALOFS,0,,INR
20260713,XIMC,MPHASIS 28 Jul 26 FUT,FUTSTK,FUTURE,100,275,10,,0345-1000|1245-1345,1785232800000000000,NSE:MPHASIS26JULFUT,61247,MPHASIS,MPHASIS,0,,INR
20260713,XIMC,MUTHOOTFIN 28 Jul 26 FUT,FUTSTK,FUTURE,100,275,10,,0345-1000|1245-1345,1785232800000000000,NSE:MUTHOOTFIN26JULFUT,61248,MUTHOOTFIN,MUTHOOTFIN,0,,INR
20260713,XIMC,NAM-INDIA 28 Jul 26 FUT,FUTSTK,FUTURE,100,625,10,,0345-1000|1245-1345,1785232800000000000,NSE:NAM-INDIA26JULFUT,61249,NAM-INDIA,NAM-INDIA,0,,INR
20260713,XIMC,NATIONALUM 28 Jul 26 FUT,FUTSTK,FUTURE,100,1875,5,,0345-1000|1245-1345,1785232800000000000,NSE:NATIONALUM26JULFUT,61250,NATIONALUM,NATIONALUM,0,,INR
20260713,XIMC,NAUKRI 28 Jul 26 FUT,FUTSTK,FUTURE,100,550,5,,0345-1000|1245-1345,1785232800000000000,NSE:NAUKRI26JULFUT,61251,NAUKRI,NAUKRI,0,,INR
20260713,XIMC,NBCC 28 Jul 26 FUT,FUTSTK,FUTURE,100,6500,1,,0345-1000|1245-1345,1785232800000000000,NSE:NBCC26JULFUT,61252,NBCC,NBCC,0,,INR
20260713,XIMC,NESTLEIND 28 Jul 26 FUT,FUTSTK,FUTURE,100,500,10,,0345-1000|1245-1345,1785232800000000000,NSE:NESTLEIND26JULFUT,61253,NESTLEIND,NESTLEIND,0,,INR
20260713,XIMC,NHPC 28 Jul 26 FUT,FUTSTK,FUTURE,100,6950,1,,0345-1000|1245-1345,1785232800000000000,NSE:NHPC26JULFUT,61254,NHPC,NHPC,0,,INR
20260713,XIMC,NMDC 28 Jul 26 FUT,FUTSTK,FUTURE,100,6750,1,,0345-1000|1245-1345,1785232800000000000,NSE:NMDC26JULFUT,61255,NMDC,NMDC,0,,INR
20260713,XIMC,NTPC 28 Jul 26 FUT,FUTSTK,FUTURE,100,1500,5,,0345-1000|1245-1345,1785232800000000000,NSE:NTPC26JULFUT,61256,NTPC,NTPC,0,,INR
20260713,XIMC,NUVAMA 28 Jul 26 FUT,FUTSTK,FUTURE,100,500,10,,0345-1000|1245-1345,1785232800000000000,NSE:NUVAMA26JULFUT,61257,NUVAMA,NUVAMA,0,,INR
20260713,XIMC,NYKAA 28 Jul 26 FUT,FUTSTK,FUTURE,100,3125,5,,0345-1000|1245-1345,1785232800000000000,NSE:NYKAA26JULFUT,61258,NYKAA,NYKAA,0,,INR
20260713,XIMC,OBEROIRLTY 28 Jul 26 FUT,FUTSTK,FUTURE,100,350,10,,0345-1000|1245-1345,1785232800000000000,NSE:OBEROIRLTY26JULFUT,61259,OBEROIRLTY,OBEROIRLTY,0,,INR
20260713,XIMC,OFSS 28 Jul 26 FUT,FUTSTK,FUTURE,100,100,100,,0345-1000|1245-1345,1785232800000000000,NSE:OFSS26JULFUT,61260,OFSS,OFSS,0,,INR
20260713,XIMC,OIL 28 Jul 26 FUT,FUTSTK,FUTURE,100,1400,5,,0345-1000|1245-1345,1785232800000000000,NSE:OIL26JULFUT,61261,OIL,OIL,0,,INR
20260713,XIMC,ONGC 28 Jul 26 FUT,FUTSTK,FUTURE,100,2250,1,,0345-1000|1245-1345,1785232800000000000,NSE:ONGC26JULFUT,61262,ONGC,ONGC,0,,INR
