date,exchange,scriptDetails,scriptInstrumentType,scriptInstrumentType2,multiplier,lotSize,tickSize,ISIN,tradingSessionUTC,expiration,script,scriptToken,underlying_root,underlying,strike,optionType,currency
20260713,XNSE,SAMMAAN CAPITAL LIMITED,EQ,EQUITY,100,1,1,INE148I01020,0330-0338|0345-1000|1245-1345,0,NSE:SAMMAANCAP-EQ,30125,SAMMAANCAP,SAMMAANCAP,0,,INR
20260713,XNSE,SBI CARDS & PAY SER LTD,EQ,EQUITY,100,1,5,INE018E01016,0330-0338|0345-1000|1245-1345,0,NSE:SBICARD-EQ,17971,SBICARD,SBICARD,0,,INR
20260713,XNSE,SBI LIFE INSURANCE CO LTD,EQ,EQUITY,100,1,10,INE123W01016,0330-0338|0345-1000|1245-1345,0,NSE:SBILIFE-EQ,21808,SBILIFE,SBILIFE,0,,INR
20260713,XNSE,STATE BANK OF INDIA,EQ,EQUITY,100,1,10,INE062A01020,0330-0338|0345-1000|1245-1345,0,NSE:SBIN-EQ,3045,SBIN,SBIN,0,,INR
20260713,XNSE,SHREE CEMENT LIMITED,EQ,EQUITY,100,1,500,INE070A01015,0330-0338|0345-1000|1245-1345,0,NSE:SHREECEM-EQ,3103,SHREECEM,SHREECEM,0,,INR
20260713,XNSE,SHRIRAM FINANCE LIMITED,EQ,EQUITY,100,1,10,INE721A01047,0330-0338|0345-1000|1245-1345,0,NSE:SHRIRAMFIN-EQ,4306,SHRIRAMFIN,SHRIRAMFIN,0,,INR
20260713,XNSE,SIEMENS LTD,EQ,EQUITY,100,1,10,INE003A01024,0330-0338|0345-1000|1245-1345,0,NSE:SIEMENS-EQ,3150,SIEMENS,SIEMENS,0,,INR
20260713,XNSE,SOLAR INDUSTRIES (I) LTD,EQ,EQUITY,100,1,100,INE343H01029,0330-0338|0345-1000|1245-1345,0,NSE:SOLARINDS-EQ,13332,SOLARINDS,SOLARINDS,0,,INR
20260713,XNSE,SONA BLW PRECISION FRGS L,EQ,EQUITY,100,1,5,INE073K01018,0330-0338|0345-1000|1245-1345,0,NSE:SONACOMS-EQ,4684,SONACOMS,SONACOMS,0,,INR
20260713,XNSE,SRF LTD,EQ,EQUITY,100,1,10,INE647A01010,0330-0338|0345-1000|1245-1345,0,NSE:SRF-EQ,3273,SRF,SRF,0,,INR
20260713,XNSE,SUN PHARMACEUTICAL IND L,EQ,EQUITY,100,1,10,INE044A01036,0330-0338|0345-1000|1245-1345,0,NSE:SUNPHARMA-EQ,3351,SUNPHARMA,SUNPHARMA,0,,INR
20260713,XNSE,SUPREME INDUSTRIES LTD,EQ,EQUITY,100,1,10,INE195A01028,0330-0338|0345-1000|1245-1345,0,NSE:SUPREMEIND-EQ,3363,SUPREMEIND,SUPREMEIND,0,,INR
20260713,XNSE,SUZLON ENERGY LIMITED,EQ,EQUITY,100,1,1,INE040H01021,0330-0338|0345-1000|1245-1345,0,NSE:SUZLON-EQ,12018,SUZLON,SUZLON,0,,INR
